country,sender nationality,reciever nationality,debit,credit
TR,OM,TR,4.36,0.0
US,OM,US,2.99,0.0
OM,TN,OM,17.75,0.0
OM,TN,OM,6.0,0.0
OM,TN,OM,8.1,0.0
OM,EG,OM,12.5,0.0
OM,EG,OM,1.26,0.0
OM,EG,OM,3.0,0.0
OM,IN,OM,7.05,0.0
OM,IN,OM,3.35,0.0
OM,PH,OM,14.62,0.0
OM,PH,OM,6.8,0.0
OM,PH,OM,4.08,0.0
OM,PH,OM,25.0,0.0
OM,PH,OM,4.05,0.0
OM,OM,OM,5.25,0.0
OM,LB,OM,35.0,0.0
OM,LB,OM,21.36,0.0
OM,LB,OM,1.26,0.0
OM,OM,OM,6.69,0.0
OM,OM,OM,48.12,0.0
OM,IN,OM,6.0,0.0
OM,IN,OM,8.08,0.0
OM,IN,OM,4.3,0.0
OM,OM,OM,30.0,0.0
OM,OM,OM,170.0,0.0
OM,OM,OM,2.64,0.0
OM,OM,OM,3.0,0.0
OM,OM,OM,20.32,0.0
IE,OM,IE,1.96,0.0
OM,EG,OM,12.0,0.0
OM,EG,OM,3.45,0.0
IE,PK,IE,3.53,0.0
OM,JO,OM,0.8,0.0
OM,JO,OM,2.0,0.0
OM,IN,OM,14.7,0.0
OM,IN,OM,2.0,0.0
OM,SY,OM,23.65,0.0
OM,SY,OM,2.1,0.0
OM,SY,OM,13.0,0.0
OM,SY,OM,1.05,0.0
OM,OM,OM,66.69,0.0
OM,OM,OM,4.46,0.0
OM,OM,OM,3.0,0.0
FR,OM,FR,15.38,0.0
OM,OM,OM,5.0,0.0
OM,OM,OM,5.5,0.0
OM,OM,OM,7.86,0.0
OM,OM,OM,1.59,0.0
OM,OM,OM,1.83,0.0
OM,OM,OM,2.0,0.0
OM,OM,OM,20.2,0.0
OM,OM,OM,1.84,0.0
OM,OM,OM,1.0,0.0
OM,OM,OM,10.25,0.0
OM,OM,OM,10.0,0.0
OM,OM,OM,3.0,0.0
OM,OM,OM,0.1,0.0
OM,OM,OM,5.0,0.0
OM,OM,OM,5.0,0.0
OM,OM,OM,1.75,0.0
OM,OM,OM,0.85,0.0
GB,IN,GB,14.06,0.0
OM,EG,OM,7.46,0.0
OM,OM,OM,9.2,0.0
OM,OM,OM,10.4,0.0
OM,OM,OM,21.25,0.0
OM,OM,OM,13.3,0.0
OM,OM,OM,1.95,0.0
OM,OM,OM,1.5,0.0
OM,OM,OM,2.2,0.0
OM,OM,OM,0.85,0.0
OM,OM,OM,8.19,0.0
OM,EG,OM,7.25,0.0
OM,OM,OM,2.6,0.0
OM,OM,OM,3.85,0.0
OM,OM,OM,3.15,0.0
OM,IN,OM,1.8,0.0
OM,IN,OM,3.0,0.0
OM,IN,OM,2.0,0.0
OM,OM,OM,3.0,0.0
OM,IN,OM,39.86,0.0
OM,OM,OM,13.0,0.0
OM,OM,OM,0.5,0.0
OM,OM,OM,5.0,0.0
OM,OM,OM,15.0,0.0
OM,OM,OM,21.88,0.0
AE,OM,AE,1.38,0.0
AE,OM,AE,8.02,0.0
OM,IN,OM,1.2,0.0
